date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:08:07	56/56	---M--	200	added ('OK')	text/plain	date:Wed,%2025%20Aug%202021%2017:35:10%20GMT	https://aakarist.com/robots.txt		(from )
16:08:08	72380/72380	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Mar%202022%2010:43:12%20GMT	https://aakarist.com/?gclid=CjwKCAjwzNOaBhAcEiwAD7Tb6ICo5cB1sS4wnA3MTA2oUfMJP-mEKDo9Aj9pGVIl-8sJLjxR-maoyBoCsoAQAvD_BwE	C:/My%20Web%20Sites/seven/aakarist.com/index9d95.html	(from )
16:08:10	153136/153136	---M--	200	added ('OK')	text/css	date:Wed,%2025%20Aug%202021%2017:27:28%20GMT	https://aakarist.com/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/seven/aakarist.com/assets/css/bootstrap.min.css	(from https://aakarist.com/?gclid=CjwKCAjwzNOaBhAcEiwAD7Tb6ICo5cB1sS4wnA3MTA2oUfMJP-mEKDo9Aj9pGVIl-8sJLjxR-maoyBoCsoAQAvD_BwE)
16:08:11	60562/60562	---M--	200	added ('OK')	text/css	date:Wed,%2025%20Aug%202021%2017:27:28%20GMT	https://aakarist.com/assets/css/animate.min.css	C:/My%20Web%20Sites/seven/aakarist.com/assets/css/animate.min.css	(from https://aakarist.com/?gclid=CjwKCAjwzNOaBhAcEiwAD7Tb6ICo5cB1sS4wnA3MTA2oUfMJP-mEKDo9Aj9pGVIl-8sJLjxR-maoyBoCsoAQAvD_BwE)
16:08:11	6930/6930	---M--	200	added ('OK')	text/css	date:Wed,%2025%20Aug%202021%2017:27:28%20GMT	https://aakarist.com/assets/css/meanmenu.css	C:/My%20Web%20Sites/seven/aakarist.com/assets/css/meanmenu.css	(from https://aakarist.com/?gclid=CjwKCAjwzNOaBhAcEiwAD7Tb6ICo5cB1sS4wnA3MTA2oUfMJP-mEKDo9Aj9pGVIl-8sJLjxR-maoyBoCsoAQAvD_BwE)
16:08:13	110514/110514	---M--	200	added ('OK')	text/css	date:Wed,%2025%20Aug%202021%2017:27:28%20GMT	https://aakarist.com/assets/css/remixicon.css	C:/My%20Web%20Sites/seven/aakarist.com/assets/css/remixicon.css	(from https://aakarist.com/?gclid=CjwKCAjwzNOaBhAcEiwAD7Tb6ICo5cB1sS4wnA3MTA2oUfMJP-mEKDo9Aj9pGVIl-8sJLjxR-maoyBoCsoAQAvD_BwE)
16:08:14	3116/3116	---M--	200	added ('OK')	text/css	date:Wed,%2025%20Aug%202021%2017:27:28%20GMT	https://aakarist.com/assets/css/odometer.min.css	C:/My%20Web%20Sites/seven/aakarist.com/assets/css/odometer.min.css	(from https://aakarist.com/?gclid=CjwKCAjwzNOaBhAcEiwAD7Tb6ICo5cB1sS4wnA3MTA2oUfMJP-mEKDo9Aj9pGVIl-8sJLjxR-maoyBoCsoAQAvD_BwE)
16:08:15	3167/3167	---M--	200	added ('OK')	text/css	date:Wed,%2025%20Aug%202021%2017:27:28%20GMT	https://aakarist.com/assets/css/nice-select.min.css	C:/My%20Web%20Sites/seven/aakarist.com/assets/css/nice-select.min.css	(from https://aakarist.com/?gclid=CjwKCAjwzNOaBhAcEiwAD7Tb6ICo5cB1sS4wnA3MTA2oUfMJP-mEKDo9Aj9pGVIl-8sJLjxR-maoyBoCsoAQAvD_BwE)
16:08:16	3352/3352	---M--	200	added ('OK')	text/css	date:Wed,%2025%20Aug%202021%2017:27:28%20GMT	https://aakarist.com/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/seven/aakarist.com/assets/css/owl.carousel.min.css	(from https://aakarist.com/?gclid=CjwKCAjwzNOaBhAcEiwAD7Tb6ICo5cB1sS4wnA3MTA2oUfMJP-mEKDo9Aj9pGVIl-8sJLjxR-maoyBoCsoAQAvD_BwE)
16:08:17	1013/1013	---M--	200	added ('OK')	text/css	date:Wed,%2025%20Aug%202021%2017:27:28%20GMT	https://aakarist.com/assets/css/owl.theme.default.min.css	C:/My%20Web%20Sites/seven/aakarist.com/assets/css/owl.theme.default.min.css	(from https://aakarist.com/?gclid=CjwKCAjwzNOaBhAcEiwAD7Tb6ICo5cB1sS4wnA3MTA2oUfMJP-mEKDo9Aj9pGVIl-8sJLjxR-maoyBoCsoAQAvD_BwE)
